cid,nlane,turn,dnroad,geom,len
9027_9020,0,S#U#L#R,9020_9019#9020_9027#9020_9071#9020_9018,LINESTRING(118.702817929 31.018474784;118.702843987 31.0192731220001;118.702861833 31.0203319830001;118.702879679 31.021212383;118.702915371 31.0217834540001;118.703004601 31.02237237;118.703343333 31.0235507950001),567.4274846599453
9071_9020,0,L#R#U#S,9020_9019#9020_9027#9020_9071#9020_9018,LINESTRING(118.695427568 31.023729034;118.696866778 31.0236360370001;118.698463627 31.023538681;118.699266374 31.023499481;118.699800997 31.023494826;118.701973782 31.023535382;118.703343333 31.0235507950001),756.7568084754503
9068_9021,0,U#L#R#S,9021_9068#9021_9019#9021_9022#9021_9029,LINESTRING(118.71234376 31.0236218840001;118.71213372 31.0241284520001;118.711626895 31.0252634550001;118.711084378 31.0264341500001;118.710541861 31.027633398;118.710254818 31.028241311),549.658940615559
9021_9022,3,U#L#S#R,9022_9021#9022_9030#9022_9023#9022_9031,LINESTRING(118.710254818 31.028241311;118.710885375 31.0282829510001;118.712651391 31.028405811;118.714742343 31.028554527;118.716318736 31.028664577;118.7168095 31.028694321),627.8294738696211
9030_9022,3,R#U#L#S,9022_9021#9022_9030#9022_9023#9022_9031,LINESTRING(118.716212453 31.0332271940001;118.716388533 31.0318137940001;118.716588408 31.030219555;118.7168095 31.028694321),505.79824608436473
9022_9023,0,U#L#S#R,9023_9022#9023_9033#9023_9024#9023_9034,LINESTRING(118.7168095 31.028694321;118.717193188 31.0287240640001;118.718159844 31.0287835500001;118.719343626 31.028869806;118.721050889 31.028988779;118.721940212 31.029045291;118.722452986 31.0290607580001),540.3954718010425
9033_9023,0,R#U#L#S,9023_9022#9023_9033#9023_9024#9023_9034,LINESTRING(118.72196599 31.0335400930001;118.722151588 31.031836399;118.722283648 31.0306347710001;118.722452986 31.0290607580001),498.79576748031803
9023_9024,2,U#R#L#S,9024_9023#9024_9072#9024_9083#9024_9084,LINESTRING(118.722452986 31.0290607580001;118.723558246 31.0291452290001;118.724297069 31.029202336;118.725135829 31.0292665810001;118.726156617 31.029337965;118.728630067 31.0294807330001;118.73002919 31.029573531;118.731910154 31.029687746;118.733334261 31.0297841140001;118.73426582 31.0299233120001;118.735100876 31.0301164960001;118.736040763 31.0303901340001;118.739836003 31.0317583240001),1702.376456255626
9072_9024,3,L#U#S#R,9024_9023#9024_9072#9024_9083#9024_9084,LINESTRING(118.741577079 31.028044064;118.740716404 31.029819064;118.740454663 31.030354442;118.739836003 31.0317583240001),444.1432401159399
9025_9026,0,U#L#S#R,9026_9025#9026_9071#9026_9027#9026_9058,LINESTRING(118.687849677 31.0201106150001;118.69022088 31.0198448040001;118.69200153 31.0196477750001;118.694326275 31.0193882250001;118.69554371 31.019249227),740.8439229107648
9071_9026,0,R#U#L#S,9026_9025#9026_9071#9026_9027#9026_9058,LINESTRING(118.695427568 31.023729034;118.69554371 31.019249227),496.7992431896506
9026_9027,0,U#R#S#L,9027_9026#9027_9060#9027_9017#9027_9020,LINESTRING(118.69554371 31.019249227;118.696370346 31.019174316;118.699287739 31.0188419880001;118.701767305 31.0185669050001;118.702817929 31.018474784),699.91884227057
9060_9027,0,L#U#R#S,9027_9026#9027_9060#9027_9017#9027_9020,LINESTRING(118.702700963 31.014244691;118.702725014 31.014918709;118.702766654 31.016727099;118.702778552 31.0175718080001;118.702817929 31.018474784),469.1415126294763
9019_9028,0,U#R,9028_9019#9028_9029,LINESTRING(118.706651125 31.0271431900001;118.705733842 31.028336489;118.704966466 31.029359658;118.704812276 31.0295919700001),323.3701163821946
9021_9029,2,U#L#R#S,9029_9021#9029_9028#9029_9030#9029_9086,LINESTRING(118.710254818 31.028241311;118.709987129 31.0288064330001;118.709469596 31.0299307280001;118.709112677 31.030686207;118.708565401 31.031501173),396.5555094321047
9028_9029,2,R#U#S#L,9029_9021#9029_9028#9029_9030#9029_9086,LINESTRING(118.704812276 31.0295919700001;118.70627517 31.0303828260001;118.707685 31.031102613;118.708565401 31.031501173),416.352995515811
9029_9030,0,U#R#S,9030_9029#9030_9022#9030_9033,LINESTRING(118.708565401 31.031501173;118.709085479 31.0317291700001;118.710720657 31.032294445;118.711991289 31.032656123;118.712952592 31.032875034;118.714413581 31.033103462;118.716212453 31.0332271940001),760.6898665087665
9022_9031,3,U#R#S#L,9031_9022#9031_9068#9031_9032#9031_9034,LINESTRING(118.7168095 31.028694321;118.717194675 31.027366284;118.717597696 31.026139374;118.718172336 31.0243339580001;118.718457871 31.023463076;118.71859197 31.0230611050001),647.3763177200321
9068_9031,3,L#U#R#S,9031_9022#9031_9068#9031_9032#9031_9034,LINESTRING(118.71234376 31.0236218840001;118.71285437 31.0235846840001;118.715334885 31.023327459;118.716637329 31.0231908430001;118.718053673 31.0230717860001;118.71859197 31.0230611050001),600.0456920041527
